deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
0,0.6657142857142857,0.692,0.6538454622286958,0.6998147848447249,0.6,0.4891304347826087,0.7314285714285714,,,0.0,62.0,,credit-g,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5914285714285714,0.732,0.5903744100168742,0.6867183487809053,0.24,0.6428571428571429,0.9428571428571428,,,0.0,62.0,,credit-g,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.5676190476190477,0.72,0.5557924662402274,0.663823738450604,0.18666666666666668,0.6086956521739131,0.9485714285714286,,,0.0,62.0,,credit-g,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.539047619047619,0.712,0.5035304501323918,0.6322153574580758,0.10666666666666667,0.6153846153846154,0.9714285714285714,,,0.0,0.0,,credit-g,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.5866666666666667,0.688,0.5904737903225806,0.6704133064516129,0.3333333333333333,0.4716981132075472,0.84,0.25806451612903225,0.06451612903225806,,,,credit-g,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6447619047619048,0.668,0.6311701238912886,0.6777902202314297,0.5866666666666667,0.4583333333333333,0.7028571428571428,,,0.0,62.0,,credit-g,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5933333333333333,0.708,0.5974767859899865,0.6818456516464854,0.30666666666666664,0.5227272727272727,0.88,,,0.0,62.0,,credit-g,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.6142857142857143,0.7,0.6194824961948249,0.6894977168949772,0.4,0.5,0.8285714285714286,,,0.0,62.0,,credit-g,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5525383395029085,0.8463611859838275,0.5561176297726748,0.7970197814279314,0.11475409836065574,0.7,0.9903225806451613,,,0.0,0.0,,yeast,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
109,0.7598625066102591,0.8517520215633423,0.7450681525718069,0.8557526666505249,0.6229508196721312,0.5428571428571428,0.896774193548387,0.3761467889908257,0.06422018348623854,,,,yeast,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.7524590163934426,0.784366576819407,0.6895917001338688,0.8047085015714249,0.7049180327868853,0.4095238095238095,0.8,,,0.0,109.0,,yeast,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.7366208355367531,0.8679245283018868,0.7478815616115387,0.8646421034314475,0.5409836065573771,0.6111111111111112,0.932258064516129,,,0.0,109.0,,yeast,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.7250661025912215,0.8706199460916442,0.743843498273878,0.8647911438931263,0.5081967213114754,0.6326530612244898,0.9419354838709677,,,0.0,109.0,,yeast,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5689317821258594,0.8517520215633423,0.582181542682802,0.8074266743648643,0.14754098360655737,0.75,0.9903225806451613,,,0.0,0.0,,yeast,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
