deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method,budget
31,0.5971428571428572,0.600500243173765,0.28,0.25806451612903225,0.0967741935483871,credit-g,lr,83,crcc_p_l10,0.05
31,0.6133333333333333,0.6203055964653903,0.30666666666666664,0.25806451612903225,0.0,credit-g,lr,83,crcc_m,0.05
0,0.5371428571428571,0.5071398124467178,0.12,0.0,0.0,credit-g,hgb,13,no_cleaning,0.05
31,0.5314285714285714,0.5021486217377633,0.12,0.0967741935483871,0.03225806451612903,credit-g,hgb,13,random_deletion,0.05
31,0.54,0.5096590451113678,0.12,0.6129032258064516,0.3870967741935484,credit-g,hgb,13,global_top_loss,0.05
31,0.5666666666666667,0.5599758890898132,0.21333333333333335,0.2903225806451613,0.06451612903225806,credit-g,hgb,13,class_proportional,0.05
31,0.5619047619047619,0.5392953929539295,0.14666666666666667,1.0,0.0,credit-g,hgb,13,oracle_deletion,0.05
31,0.5666666666666667,0.5599758890898132,0.21333333333333335,0.2903225806451613,0.06451612903225806,credit-g,hgb,13,crcc_p_l0,0.05
31,0.5666666666666667,0.5599758890898132,0.21333333333333335,0.2903225806451613,0.06451612903225806,credit-g,hgb,13,crcc_p_l025,0.05
31,0.5666666666666667,0.5599758890898132,0.21333333333333335,0.2903225806451613,0.06451612903225806,credit-g,hgb,13,crcc_p_l05,0.05
31,0.5666666666666667,0.5599758890898132,0.21333333333333335,0.2903225806451613,0.06451612903225806,credit-g,hgb,13,crcc_p_l10,0.05
31,0.5838095238095238,0.5835190877308243,0.25333333333333335,0.22580645161290322,0.03225806451612903,credit-g,hgb,13,crcc_m,0.05
0,0.5561904761904762,0.5337809036658142,0.14666666666666667,0.0,0.0,credit-g,hgb,29,no_cleaning,0.05
31,0.539047619047619,0.5177175347751041,0.14666666666666667,0.03225806451612903,0.12903225806451613,credit-g,hgb,29,random_deletion,0.05
31,0.5333333333333333,0.4986449864498645,0.10666666666666667,0.5161290322580645,0.4838709677419355,credit-g,hgb,29,global_top_loss,0.05
31,0.5704761904761905,0.5660031866067394,0.22666666666666666,0.16129032258064516,0.0967741935483871,credit-g,hgb,29,class_proportional,0.05
31,0.5714285714285714,0.5625,0.2,1.0,0.0,credit-g,hgb,29,oracle_deletion,0.05
31,0.5704761904761905,0.5660031866067394,0.22666666666666666,0.16129032258064516,0.0967741935483871,credit-g,hgb,29,crcc_p_l0,0.05
31,0.5704761904761905,0.5660031866067394,0.22666666666666666,0.16129032258064516,0.0967741935483871,credit-g,hgb,29,crcc_p_l025,0.05
31,0.5704761904761905,0.5660031866067394,0.22666666666666666,0.16129032258064516,0.0967741935483871,credit-g,hgb,29,crcc_p_l05,0.05
31,0.5704761904761905,0.5660031866067394,0.22666666666666666,0.16129032258064516,0.0967741935483871,credit-g,hgb,29,crcc_p_l10,0.05
31,0.5561904761904761,0.5512702503681886,0.22666666666666666,0.0967741935483871,0.03225806451612903,credit-g,hgb,29,crcc_m,0.05
0,0.5504761904761905,0.5283513258568284,0.14666666666666667,0.0,0.0,credit-g,hgb,47,no_cleaning,0.05
31,0.58,0.5715126243892457,0.2,0.22580645161290322,0.06451612903225806,credit-g,hgb,47,random_deletion,0.05
31,0.5323809523809524,0.49208204614399825,0.09333333333333334,0.4838709677419355,0.5161290322580645,credit-g,hgb,47,global_top_loss,0.05
31,0.5504761904761905,0.5386557886557887,0.18666666666666668,0.16129032258064516,0.0967741935483871,credit-g,hgb,47,class_proportional,0.05
31,0.5847619047619048,0.5737425404944587,0.18666666666666668,1.0,0.0,credit-g,hgb,47,oracle_deletion,0.05
31,0.5504761904761905,0.5386557886557887,0.18666666666666668,0.16129032258064516,0.0967741935483871,credit-g,hgb,47,crcc_p_l0,0.05
31,0.5504761904761905,0.5386557886557887,0.18666666666666668,0.16129032258064516,0.0967741935483871,credit-g,hgb,47,crcc_p_l025,0.05
31,0.5504761904761905,0.5386557886557887,0.18666666666666668,0.16129032258064516,0.0967741935483871,credit-g,hgb,47,crcc_p_l05,0.05
31,0.5504761904761905,0.5386557886557887,0.18666666666666668,0.16129032258064516,0.0967741935483871,credit-g,hgb,47,crcc_p_l10,0.05
31,0.599047619047619,0.6038919015420321,0.30666666666666664,0.12903225806451613,0.03225806451612903,credit-g,hgb,47,crcc_m,0.05
0,0.5599999999999999,0.541452677916361,0.16,0.0,0.0,credit-g,hgb,61,no_cleaning,0.05
31,0.5342857142857143,0.5046366014107949,0.12,0.0,0.0967741935483871,credit-g,hgb,61,random_deletion,0.05
31,0.5285714285714286,0.482636428065202,0.08,0.5161290322580645,0.4838709677419355,credit-g,hgb,61,global_top_loss,0.05
31,0.5523809523809524,0.5375,0.17333333333333334,0.22580645161290322,0.0,credit-g,hgb,61,class_proportional,0.05
