noise_level,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
low,ecoli,lr,crcc_p_l025,0.8431,0.0307,0.8211,0.0279,0.8,0.0865,0.2783,0.079,0.0,0.0
low,ecoli,lr,crcc_p_l05,0.8431,0.0307,0.8211,0.0279,0.8,0.0865,0.2783,0.079,0.0,0.0
low,ecoli,lr,crcc_p_l10,0.8431,0.0307,0.8211,0.0279,0.8,0.0865,0.2783,0.079,0.0,0.0
low,ecoli,lr,global_top_loss,0.7734,0.1078,0.7991,0.1023,0.5684,0.2336,0.4696,0.1519,0.4174,0.0389
low,ecoli,lr,no_cleaning,0.793,0.1068,0.8179,0.097,0.6105,0.2221,0.0,0.0,0.0,0.0
low,ecoli,lr,oracle_deletion,0.8206,0.0552,0.8387,0.0448,0.6842,0.1234,1.0,0.0,0.0,0.0
low,ecoli,lr,random_deletion,0.8057,0.1143,0.8254,0.1126,0.6421,0.2306,0.0261,0.0389,0.1304,0.123
low,phoneme,hgb,class_proportional,0.8275,0.0124,0.8324,0.0126,0.7413,0.0216,0.2451,0.0149,0.032,0.0101
low,phoneme,hgb,crcc_m,0.8256,0.0133,0.8288,0.0119,0.7433,0.0272,0.1792,0.0167,0.0101,0.0088
low,phoneme,hgb,crcc_p_l0,0.8275,0.0124,0.8324,0.0126,0.7413,0.0216,0.2451,0.0149,0.032,0.0101
low,phoneme,hgb,crcc_p_l025,0.8275,0.0124,0.8324,0.0126,0.7413,0.0216,0.2451,0.0149,0.032,0.0101
low,phoneme,hgb,crcc_p_l05,0.8275,0.0124,0.8324,0.0126,0.7413,0.0216,0.2451,0.0149,0.032,0.0101
low,phoneme,hgb,crcc_p_l10,0.8275,0.0124,0.8324,0.0126,0.7413,0.0216,0.2451,0.0149,0.032,0.0101
low,phoneme,hgb,global_top_loss,0.7344,0.0178,0.7631,0.0193,0.4967,0.0368,0.4326,0.0415,0.4368,0.0424
low,phoneme,hgb,no_cleaning,0.7653,0.0168,0.7924,0.0175,0.5663,0.031,0.0,0.0,0.0,0.0
low,phoneme,hgb,oracle_deletion,0.788,0.017,0.8144,0.0163,0.6097,0.0349,1.0,0.0,0.0,0.0
low,phoneme,hgb,random_deletion,0.7614,0.015,0.7882,0.0146,0.5592,0.0321,0.0576,0.0106,0.1353,0.0137
low,phoneme,lr,class_proportional,0.6813,0.0137,0.6922,0.0127,0.4831,0.0347,0.184,0.0129,0.0356,0.0126
low,phoneme,lr,crcc_m,0.6955,0.0172,0.705,0.0165,0.5174,0.0382,0.1181,0.0101,0.016,0.0108
low,phoneme,lr,crcc_p_l0,0.6813,0.0137,0.6922,0.0127,0.4831,0.0347,0.184,0.0129,0.0356,0.0126
