deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,method,noise_level,mn_to_maj,maj_to_min
0,0.5,0.3943217665615142,0.0,,,0,0,,pima,lr,73,no_cleaning,high,0.4,0.2
44,0.5834029850746268,0.5711733174508635,0.23880597014925373,0.36363636363636365,0.09090909090909091,0,0,,pima,lr,73,class_proportional,high,0.4,0.2
0,0.6278805970149254,0.6319643025484712,0.44776119402985076,,,44,0,0.25,pima,lr,73,balanced_oof_relabel,high,0.4,0.2
0,0.5437014925373134,0.49798713426021995,0.11940298507462686,,,44,0,0.13636363636363635,pima,lr,73,random_relabel,high,0.4,0.2
0,0.5517014925373134,0.5045475696941495,0.11940298507462686,,,0,0,,pima,lr,79,no_cleaning,low,0.1,0.05
44,0.6380298507462687,0.6437126758662572,0.3880597014925373,0.25,0.045454545454545456,0,0,,pima,lr,79,class_proportional,low,0.1,0.05
0,0.6598805970149254,0.6677007478039383,0.44776119402985076,,,44,0,0.13636363636363635,pima,lr,79,balanced_oof_relabel,low,0.1,0.05
0,0.5258507462686567,0.45299145299145294,0.05970149253731343,,,44,0,0.0,pima,lr,79,random_relabel,low,0.1,0.05
0,0.5,0.3943217665615142,0.0,,,0,0,,pima,lr,79,no_cleaning,medium,0.3,0.1
44,0.5914029850746269,0.5791383219954649,0.23880597014925373,0.45454545454545453,0.045454545454545456,0,0,,pima,lr,79,class_proportional,medium,0.3,0.1
0,0.6111044776119403,0.6135265700483092,0.3582089552238806,,,44,0,0.3409090909090909,pima,lr,79,balanced_oof_relabel,medium,0.3,0.1
0,0.5,0.3943217665615142,0.0,,,44,0,0.09090909090909091,pima,lr,79,random_relabel,medium,0.3,0.1
0,0.5,0.3943217665615142,0.0,,,0,0,,pima,lr,79,no_cleaning,high,0.4,0.2
44,0.5874029850746268,0.5751415819675205,0.23880597014925373,0.4090909090909091,0.06818181818181818,0,0,,pima,lr,79,class_proportional,high,0.4,0.2
0,0.5985671641791045,0.6007797270955165,0.373134328358209,,,44,0,0.2727272727272727,pima,lr,79,balanced_oof_relabel,high,0.4,0.2
0,0.5069253731343284,0.42114026009089683,0.029850746268656716,,,44,0,0.11363636363636363,pima,lr,79,random_relabel,high,0.4,0.2
0,0.6447164179104478,0.6471514833289578,0.31343283582089554,,,0,0,,pima,lr,83,no_cleaning,low,0.1,0.05
44,0.727044776119403,0.735702665498686,0.582089552238806,0.20454545454545456,0.022727272727272728,0,0,,pima,lr,83,class_proportional,low,0.1,0.05
